"Municipality","Model","1","2","3","4"
"Valencia","Indep","4.79 (3.36–6.36)","83.51 (81.09–85.91)","9.54 (7.64–11.64)","2.17 (1.36–3.18)"
"Valencia","Corr","4.51 (3.27–5.91)","83.74 (81.45–86.00)","9.61 (7.82–11.64)","2.14 (1.27–3.09)"
"Valencia","Corr&IRE","4.53 (3.36–5.73)","83.50 (81.18–85.55)","9.95 (8.18–11.91)","2.02 (1.27–2.91)"
"Valencia","Observed","4.36","84.55","9.18","1.91"
"Elche","Indep","4.05 (2.37–5.93)","82.26 (78.81–85.76)","11.12 (8.14–14.41)","2.57 (1.35–4.07)"
"Elche","Corr","3.85 (2.37–5.76)","82.45 (78.98–85.76)","11.22 (8.31–14.24)","2.49 (1.19–3.90)"
"Elche","Corr&IRE","4.23 (2.71–5.76)","81.57 (78.64–84.41)","11.20 (8.64–13.90)","3.00 (1.86–4.41)"
"Elche","Observed","3.90","81.02","12.20","2.88"
"Alicante","Indep","5.60 (3.62–7.76)","84.13 (80.69–87.07)","8.36 (5.86–10.86)","1.91 (0.86–3.28)"
"Alicante","Corr","5.97 (3.97–8.45)","85.00 (81.90–87.94)","7.42 (5.17–9.83)","1.60 (0.69–2.76)"
"Alicante","Corr&IRE","7.69 (5.69–9.66)","81.42 (78.45–84.31)","8.95 (6.55–11.38)","1.94 (1.03–2.93)"
"Alicante","Observed","10.00","76.38","10.17","2.93"
"Castellón de la Plana","Indep","5.27 (2.68–8.46)","84.03 (78.85–88.47)","8.75 (5.00–13.08)","1.96 (0.38–3.85)"
"Castellón de la Plana","Corr","5.13 (2.69–8.09)","84.26 (79.62–88.85)","8.73 (4.99–12.70)","1.88 (0.38–3.47)"
"Castellón de la Plana","Corr&IRE","4.22 (1.92–6.92)","86.26 (81.92–90.00)","8.09 (4.99–11.54)","1.43 (0.38–2.70)"
"Castellón de la Plana","Observed","5.00","85.77","8.85","0.38"
"Orihuela","Indep","5.55 (2.60–8.85)","84.29 (79.17–89.06)","8.29 (4.17–12.50)","1.87 (0.00–4.17)"
"Orihuela","Corr","6.64 (3.12–10.42)","85.40 (80.21–90.10)","6.61 (3.12–10.42)","1.35 (0.00–3.12)"
"Orihuela","Corr&IRE","7.82 (4.69–11.46)","82.41 (77.60–86.98)","8.18 (4.67–11.98)","1.59 (0.52–3.12)"
"Orihuela","Observed","7.81","83.85","6.77","1.04"
"Torrevieja","Indep","5.86 (2.72–9.78)","83.97 (78.26–89.13)","8.34 (4.35–12.50)","1.83 (0.00–3.80)"
"Torrevieja","Corr","6.33 (2.72–10.33)","84.76 (79.35–90.22)","7.30 (3.26–11.96)","1.60 (0.00–3.80)"
"Torrevieja","Corr&IRE","7.46 (4.35–10.87)","82.21 (77.17–86.97)","8.70 (4.89–13.04)","1.62 (0.54–3.26)"
"Torrevieja","Observed","8.15","82.07","8.70","1.09"
