"Municipality","Model","1","2","3","4"
"Valencia","Indep","5.65 (4.09–7.36)","87.66 (85.73–89.55)","5.01 (3.55–6.55)","1.69 (0.91–2.55)"
"Valencia","Corr","5.46 (4.00–7.00)","88.12 (86.09–90.00)","4.80 (3.55–6.27)","1.61 (0.91–2.45)"
"Valencia","Corr&IRE","5.65 (4.64–6.82)","87.92 (86.27–89.55)","4.86 (3.73–6.09)","1.56 (1.00–2.18)"
"Valencia","Observed","5.73","87.91","5.18","1.18"
"Elche","Indep","5.72 (3.56–8.14)","87.68 (85.08–90.17)","4.93 (3.05–7.12)","1.67 (0.68–2.88)"
"Elche","Corr","5.35 (3.39–7.46)","88.11 (85.42–90.85)","4.91 (3.22–6.78)","1.63 (0.68–2.71)"
"Elche","Corr&IRE","6.27 (4.58–7.97)","86.37 (84.07–88.48)","5.10 (3.56–6.78)","2.26 (1.36–3.05)"
"Elche","Observed","6.44","86.10","4.75","2.71"
"Alicante","Indep","9.19 (6.38–12.24)","86.72 (83.62–89.66)","3.10 (1.72–4.66)","0.99 (0.17–1.90)"
"Alicante","Corr","9.10 (6.38–11.90)","87.07 (83.97–89.83)","2.91 (1.55–4.48)","0.92 (0.17–1.90)"
"Alicante","Corr&IRE","10.95 (9.31–12.93)","83.88 (81.55–86.21)","3.79 (2.41–5.35)","1.38 (0.69–2.07)"
"Alicante","Observed","10.52","84.31","3.10","1.55"
"Castellón de la Plana","Indep","6.35 (3.08–10.00)","87.69 (83.46–91.54)","4.49 (2.31–7.31)","1.47 (0.00–3.08)"
"Castellón de la Plana","Corr","5.98 (3.08–9.62)","88.12 (83.85–91.92)","4.46 (1.92–7.31)","1.43 (0.38–3.08)"
"Castellón de la Plana","Corr&IRE","5.10 (3.08–7.69)","90.23 (87.30–93.08)","3.85 (1.92–6.15)","0.82 (0.00–1.92)"
"Castellón de la Plana","Observed","6.92","87.31","5.38","0.38"
"Orihuela","Indep","7.36 (3.65–11.98)","87.52 (82.29–92.19)","3.85 (1.04–6.77)","1.28 (0.00–3.12)"
"Orihuela","Corr","8.89 (4.69–13.54)","87.19 (82.29–91.67)","2.98 (1.04–5.73)","0.94 (0.00–2.60)"
"Orihuela","Corr&IRE","10.00 (7.29–13.02)","84.54 (80.73–88.02)","4.01 (1.56–6.77)","1.44 (0.52–2.60)"
"Orihuela","Observed","9.38","84.90","3.65","1.56"
"Torrevieja","Indep","8.56 (3.80–13.59)","86.75 (81.52–91.85)","3.50 (1.09–7.07)","1.19 (0.00–2.72)"
"Torrevieja","Corr","8.44 (4.35–14.13)","87.27 (82.07–91.85)","3.23 (0.54–5.98)","1.06 (0.00–2.72)"
"Torrevieja","Corr&IRE","9.45 (7.07–12.50)","85.79 (81.52–89.13)","3.80 (1.63–6.52)","0.96 (0.00–2.17)"
"Torrevieja","Observed","9.24","87.50","2.72","0.54"
