"Municipality","Model","1","2","3","4"
"Valencia","Indep","7.23 (5.55–9.00)","85.42 (83.27–87.45)","6.11 (4.73–7.82)","1.24 (0.64–2.00)"
"Valencia","Corr","7.16 (5.36–9.09)","85.80 (83.55–88.00)","5.87 (4.45–7.36)","1.17 (0.55–1.91)"
"Valencia","Corr&IRE","7.10 (5.82–8.45)","85.96 (84.18–87.73)","5.76 (4.45–7.18)","1.18 (0.64–1.82)"
"Valencia","Observed","6.64","86.73","5.73","0.91"
"Elche","Indep","6.56 (4.24–9.15)","85.36 (82.37–88.31)","6.69 (4.41–9.15)","1.38 (0.51–2.54)"
"Elche","Corr","6.34 (4.24–8.64)","85.80 (82.88–88.48)","6.53 (4.24–8.81)","1.34 (0.51–2.37)"
"Elche","Corr&IRE","7.17 (5.25–9.33)","84.25 (81.69–86.78)","6.91 (5.08–8.98)","1.66 (0.85–2.71)"
"Elche","Observed","6.61","84.58","7.29","1.36"
"Alicante","Indep","9.94 (7.07–12.93)","84.75 (81.72–87.76)","4.44 (2.75–6.55)","0.87 (0.17–1.72)"
"Alicante","Corr","10.31 (7.58–13.62)","84.89 (81.55–87.76)","4.02 (2.59–5.69)","0.77 (0.17–1.55)"
"Alicante","Corr&IRE","11.67 (9.48–13.79)","82.06 (79.31–84.66)","5.20 (3.62–7.07)","1.08 (0.34–1.90)"
"Alicante","Observed","12.59","80.00","5.52","1.38"
"Castellón de la Plana","Indep","6.76 (3.46–10.77)","85.34 (80.77–89.62)","6.59 (3.45–10.38)","1.31 (0.00–2.69)"
"Castellón de la Plana","Corr","6.84 (3.85–10.38)","85.79 (81.15–90.00)","6.19 (3.08–9.62)","1.19 (0.00–2.69)"
"Castellón de la Plana","Corr&IRE","5.28 (2.69–8.08)","88.07 (84.23–91.54)","5.85 (3.46–8.85)","0.80 (0.00–1.92)"
"Castellón de la Plana","Observed","4.23","90.00","4.23","1.54"
"Orihuela","Indep","8.71 (4.17–13.54)","85.17 (79.69–90.10)","5.18 (2.08–8.85)","0.95 (0.00–2.60)"
"Orihuela","Corr","10.18 (5.73–15.10)","84.89 (79.69–89.58)","4.17 (1.56–7.29)","0.76 (0.00–2.08)"
"Orihuela","Corr&IRE","11.10 (7.29–14.58)","82.75 (78.12–86.99)","5.25 (2.60–8.33)","0.91 (0.00–2.60)"
"Orihuela","Observed","12.50","80.73","5.73","0.52"
"Torrevieja","Indep","8.31 (3.80–13.59)","84.98 (79.35–90.22)","5.52 (2.17–9.24)","1.19 (0.00–2.72)"
"Torrevieja","Corr","9.00 (4.89–14.13)","85.24 (79.89–90.23)","4.75 (1.63–8.15)","1.00 (0.00–2.72)"
"Torrevieja","Corr&IRE","9.71 (6.52–13.04)","83.35 (79.35–87.50)","5.83 (2.72–9.24)","1.11 (0.00–2.19)"
"Torrevieja","Observed","9.24","84.24","4.89","1.63"
