"Municipality","Model","1","2","3","4"
"Valencia","Indep","7.07 (5.36–9.18)","85.42 (82.91–87.73)","5.72 (4.36–7.36)","1.79 (1.00–2.64)"
"Valencia","Corr","7.16 (5.45–9.00)","85.88 (83.73–87.91)","5.32 (4.00–6.82)","1.63 (0.82–2.45)"
"Valencia","Corr&IRE","7.21 (5.91–8.64)","85.56 (83.64–87.18)","5.50 (4.18–6.91)","1.73 (1.09–2.45)"
"Valencia","Observed","6.73","85.82","5.82","1.45"
"Elche","Indep","9.56 (6.78–12.54)","84.91 (82.03–87.97)","4.25 (2.54–6.10)","1.29 (0.34–2.37)"
"Elche","Corr","8.30 (5.76–11.19)","85.64 (82.54–88.64)","4.66 (2.88–6.61)","1.40 (0.51–2.54)"
"Elche","Corr&IRE","9.90 (7.63–12.37)","83.26 (80.51–85.93)","4.94 (3.39–6.78)","1.90 (1.02–2.88)"
"Elche","Observed","11.02","82.54","4.41","2.03"
"Alicante","Indep","11.82 (8.62–15.17)","83.80 (80.69–87.24)","3.38 (1.90–5.00)","1.00 (0.34–2.07)"
"Alicante","Corr","12.18 (9.31–15.17)","83.81 (80.86–86.73)","3.13 (1.72–4.66)","0.89 (0.17–1.72)"
"Alicante","Corr&IRE","13.59 (11.55–15.86)","80.79 (78.28–83.28)","4.32 (2.93–6.03)","1.31 (0.52–2.07)"
"Alicante","Observed","13.10","81.38","3.97","1.03"
"Castellón de la Plana","Indep","6.94 (3.46–11.15)","85.32 (80.38–89.62)","5.94 (3.08–9.62)","1.81 (0.38–3.47)"
"Castellón de la Plana","Corr","7.17 (3.85–10.38)","85.86 (81.54–90.00)","5.35 (2.69–8.85)","1.63 (0.38–3.46)"
"Castellón de la Plana","Corr&IRE","6.06 (3.46–9.23)","87.73 (84.23–91.15)","5.14 (2.69–7.69)","1.08 (0.00–2.31)"
"Castellón de la Plana","Observed","6.15","85.77","6.54","1.15"
"Orihuela","Indep","9.15 (4.69–14.08)","84.92 (79.17–90.10)","4.57 (1.56–7.81)","1.35 (0.00–3.12)"
"Orihuela","Corr","10.79 (6.25–16.15)","84.63 (79.17–89.58)","3.54 (1.04–6.25)","1.03 (0.00–2.60)"
"Orihuela","Corr&IRE","11.29 (7.81–15.10)","82.79 (78.12–86.98)","4.61 (2.08–7.29)","1.31 (0.00–2.60)"
"Orihuela","Observed","9.90","84.38","4.17","1.04"
"Torrevieja","Indep","9.48 (4.89–14.67)","84.69 (78.80–89.67)","4.44 (1.63–7.61)","1.40 (0.00–3.80)"
"Torrevieja","Corr","10.38 (5.98–15.76)","84.73 (79.35–90.22)","3.75 (1.09–7.07)","1.14 (0.00–2.72)"
"Torrevieja","Corr&IRE","10.97 (7.61–14.67)","83.64 (79.35–87.50)","4.31 (1.63–7.07)","1.09 (0.00–2.72)"
"Torrevieja","Observed","10.33","84.78","3.80","1.09"
