"Municipality","Model","1","2","3","4"
"Valencia","Indep","12.18 (9.82–14.55)","59.73 (56.36–62.82)","22.41 (19.55–25.45)","5.68 (4.27–7.27)"
"Valencia","Corr","12.15 (9.91–14.27)","60.47 (57.27–63.55)","22.03 (19.36–24.82)","5.35 (3.91–6.82)"
"Valencia","Corr&IRE","11.99 (10.45–13.55)","61.09 (58.55–63.45)","21.80 (19.55–24.00)","5.12 (4.09–6.09)"
"Valencia","Observed","10.82","62.36","22.27","4.55"
"Elche","Indep","11.49 (8.64–14.75)","58.79 (54.24–63.22)","23.57 (19.66–27.97)","6.14 (4.07–8.47)"
"Elche","Corr","10.78 (8.14–13.73)","58.99 (54.74–63.22)","24.13 (20.00–28.31)","6.10 (4.07–8.31)"
"Elche","Corr&IRE","12.30 (10.17–14.41)","56.58 (53.39–59.66)","22.85 (19.83–25.93)","8.26 (6.78–9.83)"
"Elche","Observed","15.59","52.71","21.19","10.34"
"Alicante","Indep","11.02 (8.27–14.14)","58.67 (53.79–63.28)","24.07 (19.83–28.45)","6.25 (4.14–8.45)"
"Alicante","Corr","10.32 (7.93–13.45)","58.72 (54.31–63.10)","24.65 (20.52–28.80)","6.31 (4.31–8.62)"
"Alicante","Corr&IRE","12.20 (10.00–14.48)","56.02 (52.93–59.66)","23.78 (21.03–26.90)","8.00 (6.55–9.66)"
"Alicante","Observed","13.79","55.00","21.03","9.66"
"Castellón de la Plana","Indep","14.87 (10.00–20.38)","61.38 (55.38–67.69)","19.14 (13.46–25.00)","4.61 (2.31–7.69)"
"Castellón de la Plana","Corr","15.74 (10.77–21.15)","62.55 (56.53–68.85)","17.74 (12.69–23.46)","3.96 (1.54–6.92)"
"Castellón de la Plana","Corr&IRE","13.61 (10.00–17.31)","66.41 (61.15–71.16)","17.14 (13.08–21.54)","2.84 (1.54–4.62)"
"Castellón de la Plana","Observed","11.15","68.46","18.08","1.92"
"Orihuela","Indep","12.72 (7.29–18.23)","60.05 (53.12–66.67)","21.82 (15.09–28.14)","5.41 (2.08–9.38)"
"Orihuela","Corr","13.70 (8.33–19.27)","61.31 (54.69–68.75)","20.24 (14.06–26.56)","4.75 (2.08–8.33)"
"Orihuela","Corr&IRE","16.63 (13.02–20.31)","55.59 (49.99–61.46)","22.94 (18.23–27.60)","4.84 (2.60–7.29)"
"Orihuela","Observed","17.19","54.69","23.96","3.65"
"Torrevieja","Indep","12.51 (7.07–18.48)","59.63 (52.72–66.85)","22.24 (15.22–29.90)","5.62 (2.17–9.78)"
"Torrevieja","Corr","11.77 (7.07–17.39)","59.68 (52.17–66.85)","22.96 (16.83–29.89)","5.60 (2.17–9.24)"
"Torrevieja","Corr&IRE","16.75 (13.04–20.65)","52.20 (46.73–57.61)","21.38 (16.30–26.63)","9.68 (7.07–12.50)"
"Torrevieja","Observed","17.93","51.63","21.20","9.24"
