"Municipality","Model","1","2","3","4"
"Valencia","Indep","17.02 (14.36–19.82)","51.56 (48.55–54.73)","21.85 (19.09–24.73)","9.57 (7.64–11.73)"
"Valencia","Corr","16.56 (14.18–19.09)","52.30 (49.09–55.73)","21.94 (19.36–24.73)","9.20 (7.36–11.09)"
"Valencia","Corr&IRE","15.39 (13.91–16.91)","54.61 (52.36–56.73)","22.11 (20.27–24.00)","7.89 (6.91–9.00)"
"Valencia","Observed","13.82","56.64","22.45","7.00"
"Elche","Indep","11.44 (8.81–14.41)","46.31 (41.52–51.36)","27.79 (23.39–32.04)","14.46 (11.02–17.97)"
"Elche","Corr","10.66 (8.14–13.39)","46.28 (41.53–50.85)","28.53 (24.58–32.54)","14.53 (11.36–17.97)"
"Elche","Corr&IRE","14.27 (12.37–16.10)","41.85 (39.15–44.58)","24.23 (21.53–26.78)","19.65 (17.46–21.86)"
"Elche","Observed","16.78","40.51","20.51","22.03"
"Alicante","Indep","9.26 (6.55–12.07)","43.09 (38.10–48.11)","30.27 (26.03–34.66)","17.38 (13.79–21.38)"
"Alicante","Corr","9.32 (6.90–11.90)","44.06 (39.66–48.79)","30.30 (26.21–34.31)","16.33 (12.93–19.83)"
"Alicante","Corr&IRE","11.70 (10.00–13.45)","40.13 (37.59–42.59)","26.90 (24.14–29.66)","21.27 (19.14–23.28)"
"Alicante","Observed","12.76","40.17","22.41","24.14"
"Castellón de la Plana","Indep","19.87 (14.23–25.78)","52.78 (46.54–59.23)","19.37 (14.23–25.00)","7.98 (4.62–11.92)"
"Castellón de la Plana","Corr","20.19 (15.38–25.77)","53.71 (47.31–60.00)","18.75 (14.22–23.85)","7.36 (4.23–10.77)"
"Castellón de la Plana","Corr&IRE","14.72 (11.54–18.08)","62.34 (57.69–66.54)","19.18 (15.38–22.70)","3.76 (2.31–5.38)"
"Castellón de la Plana","Observed","14.62","62.31","19.62","3.46"
"Orihuela","Indep","20.78 (14.06–27.60)","52.84 (45.83–59.38)","18.78 (13.02–25.01)","7.60 (3.65–11.98)"
"Orihuela","Corr","21.78 (15.10–28.65)","53.65 (46.88–60.42)","17.82 (12.49–23.45)","6.75 (3.65–10.94)"
"Orihuela","Corr&IRE","25.78 (22.40–29.17)","46.38 (41.67–51.04)","22.14 (18.23–26.04)","5.70 (3.65–7.81)"
"Orihuela","Observed","23.96","47.92","23.96","3.65"
"Torrevieja","Indep","17.55 (11.41–25.00)","51.28 (44.02–58.15)","21.64 (14.67–28.80)","9.53 (4.89–14.67)"
"Torrevieja","Corr","15.98 (10.33–22.28)","51.53 (43.48–58.70)","22.72 (16.30–29.89)","9.77 (5.43–14.67)"
"Torrevieja","Corr&IRE","21.27 (17.93–24.46)","44.18 (39.67–48.91)","21.34 (17.39–25.01)","13.21 (10.87–15.76)"
"Torrevieja","Observed","20.65","45.65","21.74","11.96"
