"Municipality","Model","1","2","3","4"
"Valencia","Indep","6.22 (4.64–8.00)","83.61 (81.27–85.91)","8.23 (6.36–10.18)","1.93 (1.09–2.82)"
"Valencia","Corr","5.84 (4.36–7.46)","84.08 (81.82–86.45)","8.19 (6.36–10.09)","1.88 (1.09–2.73)"
"Valencia","Corr&IRE","5.96 (5.00–7.09)","84.29 (82.36–86.18)","7.97 (6.55–9.45)","1.78 (1.09–2.45)"
"Valencia","Observed","5.45","85.55","7.82","1.18"
"Elche","Indep","5.39 (3.39–7.63)","83.20 (80.00–86.44)","9.24 (6.61–12.03)","2.17 (1.02–3.56)"
"Elche","Corr","5.02 (3.22–6.95)","83.56 (80.17–86.61)","9.26 (6.78–12.20)","2.17 (1.02–3.39)"
"Elche","Corr&IRE","5.75 (4.24–7.29)","82.14 (79.66–84.58)","9.37 (7.29–11.53)","2.73 (1.86–3.90)"
"Elche","Observed","6.27","81.19","9.83","2.54"
"Alicante","Indep","9.05 (6.55–11.90)","83.89 (80.69–86.90)","5.76 (3.79–8.10)","1.30 (0.52–2.41)"
"Alicante","Corr","8.90 (6.38–11.72)","84.46 (81.38–87.41)","5.47 (3.62–7.59)","1.17 (0.34–2.24)"
"Alicante","Corr&IRE","10.73 (8.97–12.59)","80.82 (78.45–83.28)","6.84 (5.00–8.62)","1.61 (0.86–2.42)"
"Alicante","Observed","10.86","80.86","6.21","1.55"
"Castellón de la Plana","Indep","6.23 (3.08–9.62)","83.63 (78.85–88.08)","8.20 (4.62–12.31)","1.94 (0.38–3.86)"
"Castellón de la Plana","Corr","6.03 (3.08–9.23)","84.24 (79.23–88.46)","7.93 (4.23–11.92)","1.80 (0.38–3.85)"
"Castellón de la Plana","Corr&IRE","4.69 (2.31–7.31)","87.03 (83.46–90.38)","7.12 (4.23–10.00)","1.17 (0.38–2.31)"
"Castellón de la Plana","Observed","4.23","87.69","7.31","0.77"
"Orihuela","Indep","7.91 (4.17–12.50)","84.02 (78.65–89.06)","6.61 (3.12–10.94)","1.46 (0.00–3.65)"
"Orihuela","Corr","9.10 (5.21–14.06)","84.40 (78.65–89.58)","5.35 (2.59–9.38)","1.14 (0.00–2.60)"
"Orihuela","Corr&IRE","10.76 (7.81–14.06)","81.08 (76.56–85.42)","6.68 (3.65–9.90)","1.49 (0.52–3.12)"
"Orihuela","Observed","11.46","81.25","5.73","1.04"
"Torrevieja","Indep","6.41 (2.72–10.87)","83.44 (77.72–88.59)","8.17 (3.80–13.04)","1.98 (0.00–4.35)"
"Torrevieja","Corr","7.77 (3.80–12.50)","84.31 (78.79–89.67)","6.47 (2.72–10.34)","1.46 (0.00–3.26)"
"Torrevieja","Corr&IRE","8.81 (6.51–11.41)","81.15 (76.63–85.33)","8.32 (4.89–11.96)","1.72 (0.54–3.27)"
"Torrevieja","Observed","8.15","80.98","7.61","3.26"
