"Municipality","Model","1","2","3","4"
"Valencia","Indep","11.54 (9.36–13.73)","62.73 (59.73–65.73)","15.04 (12.55–17.64)","10.69 (8.63–13.00)"
"Valencia","Corr","11.82 (9.73–14.27)","63.48 (60.45–66.46)","14.59 (12.45–16.82)","10.11 (8.18–12.27)"
"Valencia","Corr&IRE","10.66 (9.36–12.09)","64.87 (62.73–67.00)","15.60 (13.82–17.55)","8.87 (7.73–10.09)"
"Valencia","Observed","9.64","65.45","16.64","8.27"
"Elche","Indep","6.04 (4.07–8.14)","52.14 (46.78–57.46)","21.89 (18.31–25.76)","19.94 (15.93–24.24)"
"Elche","Corr","5.91 (3.90–7.97)","52.72 (47.79–56.95)","21.80 (18.47–25.42)","19.56 (15.76–23.56)"
"Elche","Corr&IRE","9.06 (7.46–10.85)","49.19 (46.44–51.86)","17.53 (14.92–20.34)","24.23 (22.37–26.27)"
"Elche","Observed","11.19","44.92","17.80","25.93"
"Alicante","Indep","5.84 (3.79–8.10)","52.01 (47.07–57.24)","22.05 (18.28–25.69)","20.10 (16.03–24.14)"
"Alicante","Corr","5.42 (3.45–7.59)","51.62 (46.55–56.38)","22.59 (19.14–26.21)","20.37 (16.38–24.31)"
"Alicante","Corr&IRE","8.32 (6.90–9.83)","49.12 (46.38–51.90)","17.72 (15.17–20.52)","24.83 (22.76–26.90)"
"Alicante","Observed","10.00","47.24","16.38","25.86"
"Castellón de la Plana","Indep","16.51 (11.15–22.31)","64.87 (58.85–70.38)","11.27 (7.30–15.77)","7.35 (4.23–11.16)"
"Castellón de la Plana","Corr","16.46 (11.54–21.92)","65.28 (59.23–71.15)","11.06 (7.31–15.00)","7.20 (4.23–10.77)"
"Castellón de la Plana","Corr&IRE","11.11 (8.08–14.62)","75.36 (71.15–80.00)","9.92 (6.54–13.46)","3.61 (2.31–5.00)"
"Castellón de la Plana","Observed","7.69","82.31","5.77","4.23"
"Orihuela","Indep","18.17 (11.98–25.00)","64.92 (58.85–71.35)","10.39 (6.25–15.10)","6.51 (3.12–10.42)"
"Orihuela","Corr","19.27 (13.02–25.53)","65.12 (58.85–72.40)","9.74 (5.73–14.06)","5.88 (2.60–9.90)"
"Orihuela","Corr&IRE","21.73 (17.71–25.53)","60.97 (55.73–65.62)","12.56 (8.33–16.67)","4.74 (3.12–6.77)"
"Orihuela","Observed","20.83","61.46","13.54","3.65"
"Torrevieja","Indep","11.90 (7.07–17.40)","62.88 (55.43–70.12)","14.72 (9.24–20.67)","10.49 (5.98–16.30)"
"Torrevieja","Corr","12.24 (7.60–17.93)","63.60 (56.51–70.65)","14.27 (9.24–20.65)","9.89 (5.43–14.67)"
"Torrevieja","Corr&IRE","16.72 (13.04–20.11)","54.72 (50.00–59.78)","16.03 (11.96–20.65)","12.53 (9.78–15.76)"
"Torrevieja","Observed","17.39","50.54","20.65","11.41"
