"Municipality","Model","1","2","3","4"
"Valencia","Indep","16.93 (14.36–19.73)","66.47 (63.45–69.45)","11.43 (9.36–13.64)","5.17 (3.82–6.73)"
"Valencia","Corr","17.18 (14.36–19.91)","66.92 (64.00–69.82)","11.05 (9.18–13.18)","4.85 (3.54–6.27)"
"Valencia","Corr&IRE","17.02 (14.91–19.18)","66.46 (63.55–69.09)","11.73 (9.82–13.82)","4.79 (3.73–6.09)"
"Valencia","Observed","16.27","68.00","11.27","4.45"
"Elche","Indep","17.24 (13.73–20.85)","66.28 (62.20–69.83)","11.34 (8.64–14.41)","5.14 (3.39–7.12)"
"Elche","Corr","16.71 (13.22–20.00)","66.87 (63.05–70.85)","11.35 (8.64–14.41)","5.08 (3.22–7.12)"
"Elche","Corr&IRE","17.51 (14.58–21.02)","63.87 (60.00–67.63)","12.26 (9.49–14.92)","6.36 (4.75–8.14)"
"Elche","Observed","21.02","59.49","12.20","7.29"
"Alicante","Indep","15.85 (12.59–19.31)","66.51 (62.41–70.69)","12.11 (9.14–15.34)","5.53 (3.62–7.76)"
"Alicante","Corr","15.89 (12.41–19.48)","66.75 (62.76–70.86)","11.92 (8.97–15.00)","5.44 (3.62–7.59)"
"Alicante","Corr&IRE","17.06 (14.14–20.00)","63.01 (59.66–66.56)","13.22 (10.69–15.87)","6.70 (4.83–8.62)"
"Alicante","Observed","19.66","60.52","11.38","7.93"
"Castellón de la Plana","Indep","24.30 (18.08–31.15)","64.55 (58.46–70.38)","7.79 (4.62–11.92)","3.36 (1.53–6.15)"
"Castellón de la Plana","Corr","23.85 (18.45–30.00)","64.95 (59.23–70.77)","7.90 (4.23–11.54)","3.30 (1.15–5.77)"
"Castellón de la Plana","Corr&IRE","23.93 (18.85–29.23)","66.52 (61.15–71.92)","7.27 (4.23–10.38)","2.28 (0.77–3.86)"
"Castellón de la Plana","Observed","22.31","73.08","3.46","1.15"
"Orihuela","Indep","16.58 (11.46–22.40)","66.53 (59.90–72.92)","11.64 (6.77–16.67)","5.26 (2.08–8.35)"
"Orihuela","Corr","17.77 (12.50–23.96)","66.94 (60.42–73.44)","10.60 (6.25–15.10)","4.68 (2.07–8.33)"
"Orihuela","Corr&IRE","18.51 (13.54–23.44)","64.41 (57.81–70.31)","12.37 (8.33–17.71)","4.71 (2.08–7.81)"
"Orihuela","Observed","16.15","68.75","11.46","3.12"
"Torrevieja","Indep","16.80 (10.87–23.37)","66.48 (59.77–73.37)","11.48 (6.52–16.85)","5.24 (2.17–9.24)"
"Torrevieja","Corr","16.93 (10.87–23.91)","66.83 (60.33–73.37)","11.27 (6.52–16.85)","4.97 (2.16–8.70)"
"Torrevieja","Corr&IRE","19.26 (14.13–25.00)","60.17 (53.80–66.30)","13.00 (8.70–17.93)","7.58 (4.35–10.87)"
"Torrevieja","Observed","21.74","57.07","13.04","8.15"
