"Municipality","Model","1","2","3","4"
"Valencia","Indep","4.95 (3.45–6.55)","86.26 (84.09–88.27)","6.70 (5.18–8.37)","2.09 (1.18–3.09)"
"Valencia","Corr","4.73 (3.27–6.18)","86.82 (84.82–89.00)","6.45 (5.00–8.09)","2.00 (1.18–3.00)"
"Valencia","Corr&IRE","4.81 (3.91–5.91)","86.84 (85.27–88.45)","6.41 (5.09–7.73)","1.94 (1.36–2.64)"
"Valencia","Observed","4.82","86.73","6.73","1.73"
"Elche","Indep","4.32 (2.54–6.27)","85.81 (82.88–88.64)","7.47 (5.08–10.00)","2.41 (1.19–3.73)"
"Elche","Corr","3.93 (2.37–5.76)","86.14 (83.22–88.98)","7.55 (5.42–10.00)","2.38 (1.19–3.73)"
"Elche","Corr&IRE","4.43 (3.05–5.93)","85.02 (82.71–87.29)","7.54 (5.76–9.49)","3.01 (2.03–4.24)"
"Elche","Observed","4.24","85.42","6.95","3.22"
"Alicante","Indep","6.28 (4.14–8.62)","86.77 (83.79–89.66)","5.31 (3.28–7.41)","1.64 (0.69–2.76)"
"Alicante","Corr","6.74 (4.48–9.14)","87.22 (84.31–89.83)","4.65 (2.93–6.55)","1.39 (0.52–2.59)"
"Alicante","Corr&IRE","8.55 (7.06–10.17)","83.51 (81.21–85.69)","5.98 (4.31–7.76)","1.95 (1.21–2.76)"
"Alicante","Observed","8.45","82.76","6.21","2.07"
"Castellón de la Plana","Indep","5.56 (2.69–8.85)","86.55 (82.31–90.38)","6.01 (3.08–9.23)","1.88 (0.38–3.85)"
"Castellón de la Plana","Corr","5.24 (2.31–8.46)","87.16 (82.69–91.15)","5.82 (3.08–9.23)","1.78 (0.38–3.46)"
"Castellón de la Plana","Corr&IRE","3.86 (1.92–6.15)","90.12 (86.92–93.08)","5.08 (2.69–7.69)","0.94 (0.00–1.93)"
"Castellón de la Plana","Observed","3.46","91.54","4.62","0.38"
"Orihuela","Indep","6.53 (3.12–10.94)","86.75 (82.29–91.15)","5.19 (2.08–8.85)","1.52 (0.00–3.65)"
"Orihuela","Corr","8.08 (4.17–13.02)","86.95 (81.77–91.67)","3.81 (1.04–6.77)","1.16 (0.00–3.12)"
"Orihuela","Corr&IRE","10.14 (7.29–13.02)","83.30 (79.69–86.98)","4.93 (2.08–7.81)","1.64 (0.52–3.12)"
"Orihuela","Observed","10.42","82.81","5.21","1.04"
"Torrevieja","Indep","7.13 (3.26–11.41)","86.50 (80.98–91.85)","4.85 (1.63–8.70)","1.52 (0.00–3.80)"
"Torrevieja","Corr","7.15 (3.79–11.96)","87.08 (82.60–91.85)","4.40 (1.63–7.61)","1.37 (0.00–3.26)"
"Torrevieja","Corr&IRE","8.50 (5.98–11.41)","84.42 (80.43–88.04)","5.72 (2.72–8.70)","1.36 (0.00–2.72)"
"Torrevieja","Observed","8.15","86.96","4.35","0.54"
